threshold,precision,recall
0.012173933703786674,0.18583333333333332,1.0
0.01385090901911662,0.1859883236030025,1.0
0.016066765324154925,0.18614357262103506,1.0
0.017734028836238643,0.18629908103592313,1.0
0.018106495070214078,0.18645484949832775,1.0
0.01914731443834905,0.18661087866108786,1.0
0.020039839905201258,0.18676716917922948,1.0
0.020235317355015908,0.18608549874266556,0.9955156950672646
0.02123338878962481,0.18624161073825504,0.9955156950672646
0.02219273223472519,0.18639798488664988,0.9955156950672646
0.022275994545323603,0.1865546218487395,0.9955156950672646
0.022663185935059355,0.18671152228763668,0.9955156950672646
0.023742137532367587,0.18686868686868688,0.9955156950672646
0.02387243077820364,0.18702611625947768,0.9955156950672646
0.02449157929783328,0.18718381112984822,0.9955156950672646
0.025089163494763155,0.18734177215189873,0.9955156950672646
0.02617352397684897,0.1875,0.9955156950672646
0.0264784010002451,0.18765849535080303,0.9955156950672646
0.02648261583035156,0.18781725888324874,0.9955156950672646
0.026795280936329022,0.18797629127857748,0.9955156950672646
0.027001392411732713,0.188135593220339,0.9955156950672646
0.027168505545534027,0.18829516539440203,0.9955156950672646
0.027766885662299443,0.18845500848896435,0.9955156950672646
0.027986719167842757,0.18861512319456245,0.9955156950672646
0.028355943803525626,0.18877551020408162,0.9955156950672646
0.028358573600343714,0.18893617021276596,0.9955156950672646
0.028359330820574496,0.1890971039182283,0.9955156950672646
0.02894313082262789,0.18925831202046037,0.9955156950672646
0.02901231609321171,0.189419795221843,0.9955156950672646
0.02938899121451045,0.18958155422715628,0.9955156950672646
0.02964091009338052,0.18974358974358974,0.9955156950672646
0.03047273033509606,0.1899059024807528,0.9955156950672646
0.03074834593385338,0.19006849315068494,0.9955156950672646
0.031010648153280806,0.19023136246786632,0.9955156950672646
0.03138303345731232,0.19039451114922812,0.9955156950672646
0.031653402630454464,0.1905579399141631,0.9955156950672646
0.032253409891262394,0.19072164948453607,0.9955156950672646
0.03301505602611072,0.19088564058469476,0.9955156950672646
0.033061773338745035,0.19104991394148021,0.9955156950672646
0.0334530375043212,0.19121447028423771,0.9955156950672646
0.03370461179818545,0.19137931034482758,0.9955156950672646
0.03372850702043106,0.1915444348576359,0.9955156950672646
0.03379215413086053,0.19170984455958548,0.9955156950672646
0.03381492341308621,0.19187554019014694,0.9955156950672646
0.03394049541882575,0.19204152249134948,0.9955156950672646
0.03419724857815895,0.19220779220779222,0.9955156950672646
0.03421265556288689,0.19150779896013864,0.9910313901345291
0.03429296326212923,0.191673894189072,0.9910313901345291
0.034905983899170094,0.1918402777777778,0.9910313901345291
0.03512319906856289,0.19200695047784536,0.9910313901345291
0.035147313511972915,0.19217391304347825,0.9910313901345291
0.036147868580601476,0.19234116623150566,0.9910313901345291
0.036228347661455836,0.19250871080139373,0.9910313901345291
0.0363755421561976,0.1926765475152572,0.9910313901345291
0.03678581825031232,0.19284467713787085,0.9910313901345291
0.037043784421463305,0.1930131004366812,0.9910313901345291
0.03794908803625647,0.19318181818181818,0.9910313901345291
0.03798885673823537,0.19335083114610674,0.9910313901345291
0.038173811476376635,0.19352014010507881,0.9910313901345291
0.03860140814308668,0.1936897458369851,0.9910313901345291
0.03868867993994514,0.193859649122807,0.9910313901345291
0.03873496524287538,0.19402985074626866,0.9910313901345291
0.03883705517415103,0.19420035149384884,0.9910313901345291
0.03904195417287902,0.1943711521547933,0.9910313901345291
